Title,Author,Average rating,Number of ratings,Number of reviews,Genres,Publish year,Number of pages,Currently reading,Want to read
"Darkhouse (Experiment in Terror, #1)",Karina Halle,3.76,18063,1967.0,"Horror, Paranormal, Ghosts, Fantasy, Romance, Mystery, Urban Fantasy",2011.0,323.0,853.0,
"Eden (Providence, #3)",Jamie McGuire,4.15,17512,852.0,"Paranormal, Romance, Fantasy, Angels, Young Adult, Paranormal Romance, New Adult",2011.0,276.0,224.0,
"Making You Mine (The Moreno Brothers, #5)",Elizabeth Reyes,4.19,9778,408.0,"Romance, New Adult, Contemporary, Contemporary Romance, Young Adult, Adult, Chick Lit",2011.0,372.0,1018.0,
"Touching Smoke (Touch, #1)",Airicka Phoenix,3.7,2325,229.0,"Paranormal, Fantasy, Young Adult, Romance, Paranormal Romance, Supernatural, Angels",2012.0,320.0,80.0,
"No Flowers Required (Love Required, #2)",Cari Quinn,3.81,4802,284.0,"Romance, Contemporary Romance, Contemporary, Erotica, Adult, Fiction, Erotic Romance",2012.0,158.0,146.0,
"Project ELE (ELE, #1)",Rebecca Gober,3.86,2909,278.0,"Young Adult, Dystopia, Science Fiction, Paranormal, Romance, Fantasy, Post Apocalyptic",2012.0,234.0,581.0,
The Boss and Her Billionaire (Love on Deck #1),Michele de Winton,3.42,611,56.0,"Romance, Contemporary, Contemporary Romance, Adult, Audiobook, Billionaires, Chick Lit",2012.0,273.0,20.0,
"The Orb of Truth (The Horn King, #1)",Brae Wyckoff,3.77,310,77.0,"Fantasy, Fiction, Christian, High Fantasy, Christian Fiction, Science Fiction Fantasy, Epic Fantasy",2012.0,242.0,21.0,
"Broken Point (The Wayward Gifted, #1)",Donna K. Childree,3.99,86,13.0,Young Adult,2013.0,236.0,4.0,
"Out of the Box Awakening (Out of the Box, #1)",Jennifer Theriot,3.83,739,180.0,"Romance, Second Chance Romance, Contemporary Romance, Contemporary, Audiobook, Adult, Humor",2013.0,366.0,115.0,
"Titans, Humans, and the Beasts",Cristina M. Sburlea,4.36,42,11.0,,,,,
Fuzzy Green Things,Jennifer Szewczuk,4.34,29,3.0,Fiction,2013.0,130.0,1.0,
"New York (The Nightlife, #1)",Travis Luedke,3.5,1621,280.0,"Paranormal, Vampires, Erotica, Romance, Paranormal Romance, Urban Fantasy, Fantasy",2012.0,,154.0,
Constructing Marcus,Danielle DeVor,4.45,109,17.0,"Young Adult, Paranormal Romance, Romance, Adventure, Magic, Supernatural, Teen",2013.0,,1.0,
Heavy Duty Trouble (Brethren Trilogy #3),Iain Parke,4.07,87,9.0,Thriller,2012.0,268.0,5.0,
"The Key (True Reign, #1)",Jennifer Anne Davis,3.91,6504,622.0,"Fantasy, Young Adult, Romance, Fiction, Historical Fiction, Young Adult Fantasy, Mystery",2013.0,329.0,1633.0,
"The Shifter Dimension (Starbirth, #2)",J.M. Johnson,4.61,123,12.0,Science Fiction,2012.0,236.0,3.0,
"Unbreakable (Unblemished, #3)",Sara Ella,4.06,587,150.0,"Fantasy, Romance, Young Adult, Christian Fiction, Contemporary, Christian, Magic",,383.0,21.0,
"Beg for Mercy (Cambion, #1)",Shannon Dermott,3.69,2621,306.0,"Paranormal, Young Adult, Romance, Fantasy, Demons, Angels, Paranormal Romance",2011.0,473.0,189.0,
"The Clay Lion (The Clay Lion, #1)",Amalie Jahn,4.08,864,129.0,"Time Travel, Young Adult, Romance, Death, Middle Grade, Coming Of Age, Time Travel Romance",2013.0,256.0,46.0,
"Slave (Finding Anna, #1)",Sherri Hayes,3.87,8742,700.0,"BDSM, Dark, Romance, Erotica, Abuse, Adult, Contemporary",2011.0,276.0,1533.0,
Boomerang Bride,Fiona Lowe,3.55,2155,322.0,"Romance, Contemporary Romance, Contemporary, Fiction, Chick Lit, Small Town Romance, Audiobook",2011.0,296.0,58.0,
Aces High,Elle Casey,4.01,146,22.0,"Paranormal, Young Adult, Urban Fantasy",2013.0,250.0,3.0,
"Red Zone (Daniels Brothers, #2)",Sherri Hayes,3.99,589,126.0,"Romance, Sports, Contemporary Romance, Contemporary, Sports Romance, Suspense, Football",2013.0,221.0,79.0,
Crossing the Line (Daniels Brothers #3),Sherri Hayes,4.05,249,54.0,"Romance, Contemporary, Contemporary Romance, Suspense",2014.0,226.0,46.0,
"Blood Warrior (The Alexa Montgomery Saga, #1)",H.D. Gordon,3.88,4016,408.0,"Vampires, Paranormal, Young Adult, Fantasy, Romance, Urban Fantasy, Werewolves",2011.0,307.0,368.0,
How I Live Now,Meg Rosoff,3.57,46859,5244.0,"Young Adult, Fiction, Dystopia, Romance, War, Science Fiction, Teen",2004.0,194.0,765.0,
"Cursed (The Thorne Trilogy, #1)",R.K. Ryals,4.17,732,72.0,"Paranormal, Fantasy, Young Adult, Witches, Romance, Demons, Supernatural",2013.0,183.0,186.0,
"Behind Closed Doors (Daniels Brothers, #1)",Sherri Hayes,3.96,1872,172.0,"Romance, Contemporary, Contemporary Romance, Suspense, Mystery, Adult, Romantic Suspense",2012.0,,921.0,
"Vanish (Firelight, #2)",Sophie Jordan,3.89,34603,2344.0,"Fantasy, Young Adult, Dragons, Romance, Paranormal, Paranormal Romance, Urban Fantasy",2014.0,294.0,481.0,
Reasons I Fell for the Funny Fat Friend,Cassie Mae,3.93,7678,879.0,"Young Adult, Romance, Contemporary, High School, Friends To Lovers, Chick Lit, Contemporary Romance",2013.0,203.0,167.0,
Weekend Agreement,Barbara Wallace,3.66,2794,122.0,"Romance, Contemporary Romance, Contemporary, Adult, Chick Lit, Fiction, Erotica",2010.0,194.0,35.0,
"Prized (Birthmarked, #2)",Caragh M. O'Brien,3.98,24133,1850.0,"Young Adult, Dystopia, Romance, Fantasy, Science Fiction, Fiction, Audiobook",2011.0,356.0,204.0,
"The Tied Man (The Tied Man, #1)",Tabitha McGowan,4.05,5143,824.0,"Dark, BDSM, Romance, Erotica, Abuse, Dark Romance, Contemporary",2013.0,395.0,196.0,
"The Acropolis (Acropolis, #1)",R.K. Ryals,4.0,653,85.0,"Fantasy, Young Adult, Paranormal, Romance, Paranormal Romance, Supernatural, Demons",2012.0,194.0,42.0,
Always a Bridesmaid,Cindi Myers,3.52,438,45.0,"Romance, Contemporary Romance, Contemporary, Adult, Chick Lit",2012.0,227.0,4.0,
"Retribution (Redemption, #3)",R.K. Ryals,4.34,1351,91.0,"Paranormal, Angels, Demons, Romance, Fantasy, Young Adult, Paranormal Romance",2012.0,148.0,33.0,
"Tall, Dark & Lonely (Pyte/Sentinel, #1)",R.L. Mathewson,4.04,22615,1094.0,"Paranormal, Vampires, Romance, Paranormal Romance, Fantasy, Contemporary, Adult",2010.0,337.0,937.0,
Breaking Beautiful,Jennifer Shaw Wolf,3.97,5915,589.0,"Young Adult, Romance, Contemporary, Mystery, Realistic Fiction, Abuse, Fiction",2012.0,354.0,123.0,
A Vengeful Affair,Carmen Falcone,3.67,238,39.0,"Romance, Contemporary Romance, Contemporary",2012.0,230.0,5.0,
"Charade (Games, #1)",Nyrae Dawn,3.97,37236,2013.0,"New Adult, Romance, Contemporary, College, Contemporary Romance, Young Adult, College Romance",2012.0,345.0,194.0,
"Hemlock (Hemlock, #1)",Kathleen Peacock,3.89,10351,1108.0,"Young Adult, Paranormal, Fantasy, Werewolves, Romance, Mystery, Urban Fantasy",2012.0,404.0,158.0,
On the Jellicoe Road,Melina Marchetta,4.12,51580,7382.0,"Young Adult, Contemporary, Fiction, Romance, Mystery, Realistic Fiction, Australia",2006.0,290.0,861.0,
Edible Delectables,Amy Wiseman,3.43,618,65.0,"Romance, Chick Lit, Fiction, Contemporary Romance, Contemporary, Fan Fiction, Foodie",2012.0,220.0,23.0,
"The Oaks (Royal Oaks, #1)",Jessica Loving,4.52,25,9.0,,,,,
Who is Audrey Wickersham?,Sara Shrieves,3.59,133,43.0,"Zombies, Horror, Fiction, Young Adult, Paranormal, Supernatural, Vampires",2012.0,238.0,4.0,
Safe & Sound,T.S. Krupa,3.9,246,79.0,"Romance, Fiction, Contemporary, Contemporary Romance, Adult Fiction",2014.0,312.0,14.0,
Cade (Society #1),Mason Sabre,3.94,469,101.0,"Paranormal, Shapeshifters, Paranormal Romance, Romance, Fantasy, Urban Fantasy, Fantasy Romance",2015.0,285.0,238.0,
Music City Macabre (The Low Lying Lands #1),Bob Williams,4.16,55,22.0,"Zombies, Post Apocalyptic, Fiction, Fantasy, Science Fiction, Horror",2015.0,197.0,9.0,
Freaks I've Met,Donald Jans,3.56,1052,249.0,"Humor, Fiction, Comedy, Satire, American, Contemporary, Coming Of Age",2015.0,208.0,53.0,
The Gathering Darkness,Lisa Collicutt,3.79,191,65.0,"Young Adult, Romance, Fantasy, Paranormal, Magic, Demons, Urban Fantasy",2012.0,320.0,9.0,
Damn You,Cheryl Lee Petro,4.53,17,3.0,Angels,,,3.0,
Splintered Courage,J.E. Sawyer,3.98,85,29.0,,,,,
"Unblemished (Unblemished, #1)",Sara Ella,3.83,1591,501.0,"Fantasy, Young Adult, Romance, Contemporary, Christian Fiction, Christian, Fiction",2016.0,352.0,114.0,
Twenty-Eight and a Half Wishes (Rose Gardner Mystery #1),Denise Grover Swank,3.93,32824,2628.0,"Mystery, Romance, Fiction, Chick Lit, Contemporary, Paranormal, Cozy Mystery",2011.0,326.0,7453.0,
"MVP (VIP, #3)",M. Robinson,3.82,1963,234.0,"Erotica, Romance, Contemporary, Contemporary Romance, New Adult, Dark, Dark Romance",2014.0,296.0,110.0,
"The Gathering (Lia Fail Chronicles, #1)",S.L. Dearing,4.27,74,53.0,"Fantasy, Fiction",2010.0,478.0,15.0,
"Shadow Team GB (Starbirth, #3)",J.M. Johnson,4.8,106,12.0,,,,,
Looking Through Blind Eyes (Valentine/Petrilo #1),Reyna Hawk,4.04,72,19.0,"Drama, Fiction",2012.0,232.0,1.0,
"Always Been Mine (The Moreno Brothers, #2)",Elizabeth Reyes,4.03,10876,428.0,"Romance, New Adult, Contemporary Romance, Contemporary, Young Adult, Chick Lit, Adult",2011.0,372.0,290.0,
Xianne: A Comedy of Cultures: Volume One,Jayce Grayson,4.08,26,14.0,,,,,
"Unleashed (Ross Siblings, #1)",Cherrie Lynn,3.87,31350,1183.0,"Romance, Contemporary Romance, Contemporary, Erotica, Friends To Lovers, Adult, Erotic Romance",2009.0,212.0,1018.0,
Phoenix Shadow (Maggie Henning & The Realm #3),Lisa C. Morgan,4.74,57,22.0,"Fantasy, Epic, Young Adult, Paranormal",2013.0,,6.0,
"The ""What If"" Guy",Brooke Moss,3.94,306,65.0,"Romance, Chick Lit, Contemporary, Contemporary Romance, Adult, Fiction, Humor",2011.0,296.0,5.0,
"The Fallen Star (Fallen Star, #1)",Jessica Sorensen,3.91,29415,1690.0,"Fantasy, Young Adult, Paranormal, Romance, Vampires, Paranormal Romance, Magic",2011.0,449.0,1839.0,
Without A Voice,Lauren Ritz,3.73,11,4.0,,,,,
Split,Swati Avasthi,4.02,7858,1003.0,"Young Adult, Contemporary, Fiction, Realistic Fiction, Abuse, Romance, Family",2010.0,280.0,161.0,
"Lying Season (Experiment in Terror, #4)",Karina Halle,4.45,7503,898.0,"Paranormal, Horror, Romance, Ghosts, Paranormal Romance, New Adult, Urban Fantasy",2011.0,348.0,127.0,
Everlasting Sin (Seven Nights of Sin Book#7),J.S. Cooper,3.59,3149,242.0,"Romance, New Adult, Contemporary Romance, College, Fighters, Adult, Sports",2014.0,275.0,123.0,
"Night Walker (Night, #1)",Lisa Kessler,3.84,1113,218.0,"Paranormal, Paranormal Romance, Vampires, Romance, Fantasy, Urban Fantasy, Erotica",2011.0,266.0,322.0,
"Sweet Surrender (Sweet, #1)",Maya Banks,3.94,27922,1223.0,"Romance, Erotica, BDSM, Contemporary Romance, Erotic Romance, Contemporary, Adult",2008.0,354.0,1202.0,
"Mark of the Mage (Scribes of Medeisia, #1)",R.K. Ryals,3.97,1690,166.0,"Fantasy, Young Adult, Magic, Dragons, Romance, Paranormal, High Fantasy",2013.0,180.0,118.0,
"The Calling (Darkness Rising, #2)",Kelley Armstrong,4.08,36131,1944.0,"Young Adult, Fantasy, Paranormal, Urban Fantasy, Supernatural, Romance, Fiction",2012.0,326.0,540.0,
"The Last Beginning (Curse of the Phoenix, #3)",Rachel Firasek,3.91,53,31.0,"Paranormal Romance, Paranormal",2012.0,99.0,,203.0
"Stray (Shifters, #1)",Rachel Vincent,3.79,37380,2174.0,"Urban Fantasy, Paranormal, Fantasy, Romance, Shapeshifters, Paranormal Romance, Adult",2007.0,624.0,627.0,
The Replacement,Brenna Yovanoff,3.56,20658,2891.0,"Young Adult, Fantasy, Horror, Paranormal, Urban Fantasy, Fiction, Supernatural",2010.0,343.0,436.0,
"Inbetween (Kissed by Death, #1)",Tara A. Fuller,3.7,2332,327.0,"Young Adult, Paranormal, Romance, Fantasy, Paranormal Romance, Angels, Supernatural",2012.0,314.0,66.0,
"Beautiful Demons (The Shadow Demons Saga, #1; Peachville High Demons, #1)",Sarra Cannon,3.86,10351,875.0,"Young Adult, Paranormal, Fantasy, Demons, Witches, Magic, Romance",2010.0,181.0,828.0,
"Off the Record (Record, #1)",K.A. Linde,4.03,14540,1312.0,"Romance, New Adult, Contemporary, Contemporary Romance, Politics, College, Adult",2014.0,445.0,885.0,
"The Summer I Became a Nerd (Nerd, #1)",Leah Rae Miller,3.86,10398,1118.0,"Young Adult, Contemporary, Romance, Realistic Fiction, Chick Lit, Fiction, High School",2013.0,267.0,105.0,
"Into the Still Blue (Under the Never Sky, #3)",Veronica Rossi,4.14,46997,3919.0,"Young Adult, Dystopia, Fantasy, Romance, Science Fiction, Post Apocalyptic, Fiction",2014.0,389.0,474.0,
"The Ghost and the Goth (The Ghost and the Goth, #1)",Stacey Kade,3.86,19071,1691.0,"Young Adult, Paranormal, Ghosts, Romance, Fantasy, Supernatural, Contemporary",2010.0,281.0,211.0,
"Queen of Swords (Sanctify, #1)",Katee Robert,3.6,466,84.0,"Romance, Science Fiction, Paranormal, Fantasy, Paranormal Romance, Aliens, Science Fiction Romance",2012.0,326.0,28.0,
Children of the Underground (Children of Paranoia #2),Trevor Shane,4.2,101,19.0,"Thriller, Fiction, Dystopia, Suspense",2013.0,379.0,7.0,
"Fantasy of Frost (The Tainted Accords, #1)",Kelly St. Clare,4.19,12366,885.0,"Fantasy, Romance, Young Adult, New Adult, Fantasy Romance, Paranormal, Fiction",2015.0,400.0,2750.0,
"All for One (Sky Ghosts, #1)",Alexandra Engellmann,3.79,462,124.0,"Fantasy, Urban Fantasy, Young Adult, Romance, Paranormal, Adventure, Supernatural",2014.0,369.0,126.0,
One for the Road (Road #1),Elise K. Ackers,4.68,25,7.0,"Travel, Romance",,334.0,1.0,
"Don't Say No: Smokin’ Hot Billionaire Contemporary Romance (Smokin’ Hot Women's Fiction, #1)",Cassandra Ormand,4.94,34,2.0,,,,,
"Eye of the Storm (Gray Ghost, #2)",Amy McKinley,4.43,202,90.0,"Suspense, Romance",2018.0,268.0,79.0,
"Stony Creek Cowboy (Stony Creek, #1)",Taylor Berke,3.86,137,15.0,"Romance, Erotica, Contemporary, Westerns, Erotic Romance",2013.0,217.0,4.0,
"In a Heartbeat (Rebel Walking, #1)",Hilary Storm,3.92,3429,329.0,"Romance, New Adult, College, Music, Contemporary, Contemporary Romance, Musicians",2013.0,165.0,365.0,
"INK: Fine Lines (Ink, #1)",Bella Roccaforte,3.72,541,127.0,"Paranormal, Fantasy, Urban Fantasy, Romance, Thriller, Amazon, New Adult",2013.0,292.0,77.0,
"19/21 (300 Years Of Sin, #1)",Cristina M. Sburlea,4.46,39,7.0,,,,,
Hope for Garbage,Alex Tully,4.2,1287,168.0,"Young Adult, Fiction, Romance, Contemporary, Abuse, Coming Of Age, Amazon",2014.0,269.0,409.0,
Drawn: His Secret Toy,Marian Tee,4.0,617,85.0,"Young Adult, Romance, New Adult, High School, Erotica, Contemporary, Contemporary Romance",2012.0,268.0,48.0,
"Schasm (Schasm, #1)",Shari J. Ryan,3.74,341,119.0,"Young Adult, Romance, Fantasy, Paranormal, Mental Illness, Fiction, Thriller",2014.0,244.0,11.0,
"The Rising (Blue River Chronicles, #1)",Charlotte Malina Meridian,3.88,86,,,,,,
"Children of Paranoia (Children of Paranoia, #1)",Trevor Shane,3.68,717,137.0,"Thriller, Fiction, Dystopia, Young Adult, Science Fiction, Suspense, Romance",2011.0,384.0,22.0,
I Am Titanium,Jade Clark,3.2,233,26.0,"Fantasy, Young Adult, Science Fiction, Superheroes, Adult, Urban Fantasy",2015.0,340.0,40.0,
Reflection of Secrets (Valentine/Petrilo #2),Reyna Hawk,4.44,36,,,,,,
"Effortless With You (Effortless With You, #1)",Lizzy Charles,3.93,3195,242.0,"Young Adult, Romance, Contemporary, High School, Young Adult Romance, New Adult, Young Adult Contemporary",2013.0,249.0,56.0,
"Marco (Sky Ghosts, #1.5)",Alexandra Engellmann,4.46,95,35.0,"Fantasy, Young Adult, Urban Fantasy, Short Stories, Suspense",2015.0,66.0,10.0,
"The Evaporation of Sofi Snow (The Evaporation of Sofi Snow, #1)",Mary Weber,3.57,939,315.0,"Science Fiction, Young Adult, Dystopia, Fantasy, Romance, Aliens, Fiction",2017.0,352.0,60.0,
Shattered Visions Haunted Memories (Valentine/Petrilo #3),Reyna Hawk,4.67,33,5.0,,,,,
Table for One,Ros Clarke,3.23,94,23.0,"Romance, Contemporary Romance, Contemporary",2012.0,47.0,3.0,
"Pretty Amy (Pretty Amy, #1)",Lisa Burstein,3.45,779,,"Young Adult, Contemporary, Romance, Realistic Fiction, Fiction, Chick Lit, Contemporary Romance",2012.0,304.0,28.0,
"The Nightlife: Las Vegas (The Nightlife, #2)",Travis Luedke,3.87,521,89.0,"Paranormal, Erotica, Vampires, Romance, Urban Fantasy, Paranormal Romance, Adult",2012.0,205.0,46.0,
Broken,Megan Hart,3.91,9922,965.0,"Romance, Erotica, Contemporary, Contemporary Romance, Erotic Romance, Adult, Fiction",2007.0,384.0,189.0,
Seeing Karma (Valentine/Petrilo #5),Reyna Hawk,4.6,25,1.0,,,,,
Touching the Surface,Kimberly Sabatini,3.84,1443,240.0,"Young Adult, Fantasy, Paranormal, Romance, Ghosts, Contemporary, Fiction",2012.0,336.0,29.0,
Bobby's Girl,Bernie Morris,4.57,81,8.0,Romance,2000.0,232.0,1.0,
"Killing Sarai (In the Company of Killers, #1)",J.A. Redmerski,4.08,32707,3145.0,"Romance, Dark, New Adult, Contemporary, Dark Romance, Suspense, Thriller",2013.0,393.0,772.0,
"The Dreamstone (Dream Keeper Chronicles, #2)",Mikey Brooks,4.53,38,14.0,"Young Adult, Fantasy",2013.0,317.0,4.0,
Revealing Visions (Valentine/Petrilo #4),Reyna Hawk,3.59,29,3.0,,,,,
"Need (Finding Anna, #2)",Sherri Hayes,4.1,3977,310.0,"BDSM, Romance, Erotica, Dark, Abuse, Contemporary, Adult",2012.0,256.0,245.0,
"Tears of Tess (Monsters in the Dark, #1)",Pepper Winters,3.99,42557,,"Dark, Dark Romance, Romance, BDSM, Erotica, Contemporary, Abuse",,,,
"This is Not a Test (This is Not a Test, #1)",Courtney Summers,3.85,15122,2552.0,"Young Adult, Zombies, Horror, Dystopia, Paranormal, Post Apocalyptic, Science Fiction",2012.0,326.0,220.0,
"Born Wicked (The Cahill Witch Chronicles, #1)",Jessica Spotswood,3.91,17801,2298.0,"Fantasy, Young Adult, Witches, Paranormal, Historical Fiction, Romance, Magic",2012.0,330.0,347.0,
Phoenix Rising (Maggie Henning & The Realm #1),Lisa C. Morgan,4.38,274,74.0,"Fantasy, Young Adult, Magic, Romance, Supernatural, Paranormal Romance, Vampires",2011.0,379.0,72.0,
Angels and Arrows,Reyna Hawk,4.49,39,10.0,Fantasy,2012.0,368.0,,386.0
"Truth (Finding Anna, #3)",Sherri Hayes,4.14,2562,273.0,"BDSM, Romance, Dark, Erotica, Abuse, Adult, Contemporary",2013.0,238.0,205.0,
The Dark,Jason Brant,3.81,452,63.0,"Horror, Thriller, Paranormal, Science Fiction, Audiobook, Fiction, Zombies",2013.0,332.0,19.0,
Silent Treatment,Jackie Williams,4.2,221,11.0,"Romance, Young Adult, Young Adult Romance, High School, Fiction, College, New Adult",2013.0,260.0,8.0,
"Catch of the Day (Gideon's Cove, #1)",Kristan Higgins,3.92,15383,1221.0,"Romance, Contemporary Romance, Contemporary, Chick Lit, Fiction, Audiobook, Adult",2012.0,384.0,783.0,
Gehenna (West of Hell #1),Jason Brant,3.63,651,87.0,"Horror, Zombies, Westerns, Thriller, Paranormal, Historical, Fantasy",2012.0,176.0,94.0,
The Demon's Lexicon,Sarah Rees Brennan,3.73,10219,,"Fantasy, Young Adult, Urban Fantasy, Paranormal, Demons, Magic, Fiction",2009.0,336.0,121.0,
"Trust (Finding Anna, #4)",Sherri Hayes,4.15,1838,,"BDSM, Romance, Dark, Erotica, Dark Romance, Abuse, Contemporary Romance",,,,
"Generation Dead (Generation Dead, #1)",Daniel Waters,3.6,13188,1195.0,"Young Adult, Zombies, Fantasy, Paranormal, Romance, Fiction, Supernatural",2008.0,392.0,223.0,
My Skylar,Penelope Ward,4.3,13526,1268.0,"Romance, New Adult, Friends To Lovers, Contemporary Romance, Contemporary, Second Chance, Second Chance Romance",2014.0,314.0,592.0,
Howson's Choice,Simon Warr,4.61,28,0.0,,,,,
"The Mind Readers (Mind Readers, #1)",Lori Brighton,3.76,19279,1424.0,"Young Adult, Fantasy, Paranormal, Romance, Fiction, Paranormal Romance, Supernatural",2010.0,170.0,2720.0,
"Conjure (The Hoodoo Apprentice, #1)",Lea Nolan,3.88,502,,,,,,
"The Star Dwellers (The Dwellers, #2)",David Estes,4.08,2357,228.0,"Dystopia, Young Adult, Science Fiction, Fantasy, Romance, Fiction, Post Apocalyptic",2012.0,368.0,114.0,
"Jake Undone (Jake, #1)",Penelope Ward,4.1,23224,,"Romance, New Adult, Contemporary, Contemporary Romance, College, Friends To Lovers, Adult",2013.0,337.0,953.0,
"Red Fox (Experiment in Terror, #2)",Karina Halle,4.16,8375,939.0,"Paranormal, Horror, Romance, Ghosts, Fantasy, New Adult, Urban Fantasy",2011.0,338.0,241.0,
"On Demon Wings (Experiment in Terror, #5)",Karina Halle,4.4,6797,801.0,"Paranormal, Horror, Ghosts, Romance, Demons, Paranormal Romance, Fantasy",,,,
"Dead Sky Morning (Experiment in Terror, #3)",Karina Halle,4.34,7452,,"Paranormal, Horror, Ghosts, Romance, Paranormal Romance, New Adult, Mystery",,,,
Jilted,Rachael Johns,4.06,1638,225.0,"Romance, Contemporary, Contemporary Romance, Chick Lit, Australia, Adult Fiction, Audiobook",2012.0,349.0,76.0,
"Promised (Birthmarked, #3)",Caragh M. O'Brien,3.77,15486,1385.0,"Young Adult, Dystopia, Science Fiction, Fantasy, Fiction, Romance, Audiobook",2012.0,293.0,165.0,
"Immortal Rider (Lords of Deliverance, #2; Demonica, #7)",Larissa Ione,4.3,18170,962.0,"Paranormal Romance, Paranormal, Romance, Demons, Fantasy, Angels, Urban Fantasy",2011.0,414.0,251.0,
"Pivot Point (Pivot Point, #1)",Kasie West,4.07,30193,,,,,,
"So long, Yugoslavia",Kolya S,4.61,77,51.0,Historical Fiction,,187.0,18.0,
"The Mating (Law of the Lycans, #1)",Nicky Charles,3.96,28989,2280.0,"Paranormal, Romance, Paranormal Romance, Fantasy, Shapeshifters, Werewolves, Adult",2010.0,340.0,1387.0,
"Truce (Neighbor from Hell, #4)",R.L. Mathewson,4.29,27575,,"Romance, Historical Romance, Historical, Humor, Enemies To Lovers, Contemporary Romance, Contemporary",2013.0,266.0,945.0,
Brainwalker,Robyn Mundell,4.3,9988,249.0,"Fantasy, Young Adult, Childrens, Middle Grade, Adventure, Science Fiction Fantasy, Fiction",2016.0,260.0,69.0,
"Article 5 (Article 5, #1)",Kristen Simmons,3.76,28255,2787.0,"Dystopia, Young Adult, Romance, Science Fiction, Fiction, Post Apocalyptic, Fantasy",2012.0,362.0,510.0,
"Worm Holes (Quantum Roots, #2)",Kyle Keyes,4.34,2105,43.0,"Fiction, Young Adult, Adventure, Novels, New Adult, Adult, Fantasy",2017.0,296.0,15.0,
"Friend-Zoned (Friend-Zoned, #1)",Belle Aurora,3.96,26521,2180.0,"Romance, Contemporary Romance, Contemporary, Humor, Friends To Lovers, New Adult, Chick Lit",2013.0,315.0,336.0,
"Love Thy Neighbour (Friend-Zoned, #2)",Belle Aurora,4.17,17170,1058.0,"Romance, Humor, Contemporary Romance, Contemporary, Friends To Lovers, New Adult, Chick Lit",2013.0,268.0,205.0,
On One Condition,Diane Alberts,3.32,2004,,"Romance, Contemporary Romance, Contemporary, Adult, Chick Lit, Novella, Marriage",2012.0,112.0,49.0,
"Finding Claire Fletcher (Claire Fletcher, #1)",Lisa Regan,4.33,17763,1011.0,"Mystery, Thriller, Fiction, Mystery Thriller, Suspense, Crime, Romance",2012.0,430.0,4479.0,
"The Sidekick Chronicles (Gryphon, #2.5)",Stacey Rourke,4.55,188,47.0,"Fantasy, Urban Fantasy, Paranormal, Young Adult, Mystery, Romance",2012.0,,2.0,
Something like Normal,Trish Doller,3.81,16832,1632.0,"Young Adult, Romance, Contemporary, New Adult, Military Fiction, Contemporary Romance, Realistic Fiction",,,,
The Stillburrow Crush,Linda Kage,3.64,7564,289.0,"Young Adult, Romance, Sports, Contemporary, High School, Sports Romance, Chick Lit",2010.0,202.0,82.0,
"Outpost (Razorland, #2)",Ann Aguirre,4.1,33419,2273.0,"Dystopia, Young Adult, Zombies, Post Apocalyptic, Science Fiction, Fantasy, Romance",2012.0,317.0,492.0,
The Girls From Alcyone (The Girls from Alcyone #1),Cary Caffrey,3.78,1999,150.0,"Science Fiction, LGBT, Romance, Lesbian, Young Adult, Queer, Adventure",2011.0,316.0,183.0,
Oceanswept,Lara Hays,3.56,964,126.0,"Historical Fiction, Romance, Young Adult, Fiction, Pirates, Adventure, Historical",2012.0,307.0,111.0,
Haven,Liz Hannah,3.33,18,3.0,"New Adult, Contemporary, College, Love, Romance",,,3.0,
"The Break-Up Psychic (Dangerously Dimpled, #1)",Emily Hemmer,3.54,528,88.0,"Romance, Contemporary Romance, Chick Lit, Contemporary, Humor, Fiction, Romantic Comedy",2013.0,308.0,17.0,
"Mirage Beyond Flames (Coriola, #1)",Melinda De Ross,4.33,27,14.0,Romance,2013.0,174.0,2.0,
"Brush of Shade (The Whisperer's Chronicles, #1)",Jan Harman,3.82,77,44.0,"Horror, Paranormal, Fantasy, Unfinished, Romance",2013.0,396.0,4.0,
A Poker Game of Love,Alice Walsh,4.21,28,12.0,"Romance, Contemporary, Contemporary Romance, Chick Lit, Fiction",2014.0,298.0,1.0,
An Interrupted Love Story (Can You Mend It? #1),Billy Wood-Smith,3.78,73,12.0,"Romance, Contemporary, Love Story, Young Adult",2014.0,551.0,6.0,
"E (E, #1)",Kate Wrath,3.89,1145,170.0,"Science Fiction, Dystopia, Young Adult, Fiction, Post Apocalyptic, Fantasy, Amazon",2014.0,443.0,606.0,
"The Founder's Curse (New Zigon, #1)",Danelle O'Donnell,4.27,30,6.0,Fantasy,2014.0,284.0,2.0,
"The Falling of Love (Falling, #1)",Marisa Oldham,4.12,531,,"Romance, Young Adult, New Adult, Contemporary, High School, Contemporary Romance, Emotional",2012.0,385.0,88.0,
"The Alpha and the Omega: An absurd philosophical tale about God, the end of the world, and what's on the other planets",H.M. Charley Ada,3.71,105,35.0,"Fantasy, Fiction, Philosophy, Literature",2014.0,247.0,8.0,
"Haunted Tree (The Magus Family Chronicles, #1)",Scott Robert Scheller,3.94,103,21.0,"Fantasy, Magic, Romance, Fiction, Christian Fiction, Christian",2015.0,358.0,12.0,
